symbol,n,min_diff,m_hours,subperiod,n_obs,n_eff,mean_fade,std_fade,t_stat_raw,t_stat_adj,mean_mae
BTC-USDT-SWAP,2,0.0075,2,all,26441,10331,-9.158270738719074e-05,0.014597590263453001,-1.0201669431068359,-0.6376810180805426,0.01039885103217216
BTC-USDT-SWAP,2,0.0075,4,0,7252,1650,-1.1827557089513623e-05,0.024024370404486173,-0.041924890362942,-0.019997928439009202,0.016958143514640735
BTC-USDT-SWAP,2,0.0075,4,1,9654,1983,-7.846060832975702e-05,0.01985488331595822,-0.3882737043373866,-0.17597285859691933,0.015377921766077522
BTC-USDT-SWAP,2,0.0075,4,2,5645,1544,-0.00016219526912512828,0.01796048165552031,-0.6785036317485471,-0.3548492171677013,0.013206918300604152
BTC-USDT-SWAP,2,0.0075,4,3,3890,1363,-3.442354371960679e-05,0.012930066538907114,-0.16604645858261305,-0.09828850847462679,0.010105293576558039
BTC-USDT-SWAP,2,0.0075,4,all,26441,6539,-7.158322439050133e-05,0.019891284860683173,-0.585177148040338,-0.2910074374141445,0.014572125082924556
BTC-USDT-SWAP,2,0.0075,6,0,7252,1235,-3.8874411039856924e-05,0.02817262068768754,-0.11750746899793918,-0.048491995161139896,0.020514450430764178
BTC-USDT-SWAP,2,0.0075,6,1,9654,1418,-0.0002336524957829923,0.023737293145859588,-0.9671478671481291,-0.37066138705549306,0.018780501505772016
BTC-USDT-SWAP,2,0.0075,6,2,5645,1165,-1.7501266251458283e-05,0.02087658872759621,-0.06298569261668949,-0.02861362617316818,0.015876890369379372
BTC-USDT-SWAP,2,0.0075,6,3,3889,1035,-0.0001521695578828924,0.015087303410024311,-0.628977523426808,-0.3244788017139312,0.012249237534388346
BTC-USDT-SWAP,2,0.0075,6,all,26440,4853,-0.0001220945719268571,0.02345030322667663,-0.8466006920764344,-0.3627045798399683,0.017675494968494996
BTC-USDT-SWAP,2,0.0075,8,0,7252,977,-8.208027741562197e-05,0.03304019877424822,-0.2115558611170081,-0.07765035508331154,0.023716617703708653
BTC-USDT-SWAP,2,0.0075,8,1,9654,1111,-0.00014008902956200828,0.026796948999702582,-0.5136560696549356,-0.1742512116298077,0.02152133705489412
BTC-USDT-SWAP,2,0.0075,8,2,5645,937,-9.301819358473671e-05,0.023315592844685366,-0.2997460105946456,-0.12212124803259211,0.0180863220704416
